lon,lat,ROUTE_NUMBER,DELAY,Current_Stop,From,Destination,Direction,Current_Time,Current_Day,Current_Hour,Current_Minutes,Current_Seconds
21.82483,48.86766,REX 1908 ,0,Strážske,Humenné,Košice,10,1614940811629,5,11,40,11
21.82483,48.86766,REX 1908 ,0,Strážske,Humenné,Košice,10,1614940856673,5,11,40,56
21.28301,49.29661,Os 9213 ,540,Bardejov,Prešov,Bardejov,4,1614941096711,5,11,44,56
21.22393,48.85288,Os 8514 ,240,Kysak,Košice,Lipany,21,1614941876918,5,11,57,56
21.75188,48.85705,Os 9116 ,0,Nižný Hrabovec,Humenné,Prešov,3,1614942056965,5,12,0,56
21.89858,48.75074,REX 1901 ,0,Michalovce,Košice,Humenné,15,1614942733320,5,12,12,13
21.249126,48.983379,Os 8514 ,120,Prešov,Košice,Lipany,21,1614943152337,5,12,19,12
21.90506,49.26186,Os 8916 ,0,Medzilaborce,Medzilaborce mesto,Humenné,1,1614943722431,5,12,28,42
21.37178,48.62929,Os 8817 ,180,Nižná Myšľa,Košice,Čierna nad Tisou,8,1614944022463,5,12,33,42
21.37178,48.62929,Os 8817 ,180,Nižná Myšľa,Košice,Čierna nad Tisou,8,1614944037479,5,12,33,57
21.22393,48.85288,Os 7816 ,360,Kysak,Košice,Poprad-Tatry,9,1614944427567,5,12,40,27
21.249126,48.983379,Os 8517 ,120,Prešov,Lipany,Košice,18,1614944712673,5,12,45,12
21.990302,48.933803,Os 9419 ,0,Kamenica nad Cirochou,Humenné,Stakčín,6,1614945012800,5,12,50,12
20.81501,48.81167,Os 7419 ,0,Mníšek nad Hnilcom,Nálepkovo,Margecany,7,1614945492951,5,12,58,12
20.81501,48.81167,Os 7419 ,0,Mníšek nad Hnilcom,Nálepkovo,Margecany,7,1614945522952,5,12,58,42
21.31413,49.14945,Os 9217 ,0,Raslavice,Prešov,Bardejov,4,1614945522952,5,12,58,42
21.6262,48.52172,Os 8861 ,300,Michaľany,Čierna nad Tisou,Košice,25,1614945597980,5,12,59,57
21.22393,48.85288,Os 8516 ,420,Kysak,Košice,Lipany,21,1614945658001,5,13,0,58
21.241086,48.873332,Os 8517 ,120,Ličartovce,Lipany,Košice,18,1614945883008,5,13,4,43
21.241086,48.873332,Os 8516 ,360,Ličartovce,Košice,Lipany,21,1614946063025,5,13,7,43
21.22393,48.85288,Os 8517 ,420,Kysak,Lipany,Košice,18,1614946483138,5,13,14,43
20.56151,48.95041,R 603 TATRAN,540,Spišská Nová Ves,Bratislava hlavná stanica,Košice,20,1614946678119,5,13,17,58
21.20295,49.04477,Os 8516 ,240,Veľký Šariš,Košice,Lipany,21,1614947683366,5,13,34,43
21.94706,48.96574,Os 8921 ,0,Udavské,Humenné,Medzilaborce,52,1614948088439,5,13,41,28
21.249126,48.983379,Os 8519 ,240,Prešov,Lipany,Košice,18,1614948373526,5,13,46,13
20.81501,48.81167,Os 7421 ,0,Mníšek nad Hnilcom,Nálepkovo,Margecany,7,1614948583544,5,13,49,43
20.471821,49.184593,Os 8320 ,-60,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,22,1614948583544,5,13,49,43
20.51402,48.63529,R 811 GEMERAN,720,Rožňava,Bratislava hlavná stanica,Košice,20,1614948838571,5,13,53,58
21.6674,48.40282,Os 8813 ,480,Slovenské Nové Mesto,Košice,Čierna nad Tisou,8,1614940046280,5,11,27,26
21.24601,48.7958,Os 7814 ,0,Kostoľany nad Hornádom,Košice,Poprad-Tatry,9,1614940181364,5,11,29,41
21.90119,48.93015,REX 1908 ,300,Humenné,Humenné,Košice,10,1614940481548,5,11,34,41
21.249126,48.983379,Os 8515 ,-60,Prešov,Lipany,Košice,18,1614940871634,5,11,41,11
21.90506,49.26186,Os 8915 ,0,Medzilaborce,Humenné,Medzilaborce mesto,13,1614941381799,5,11,49,41
21.82483,48.86766,Os 9116 ,0,Strážske,Humenné,Prešov,3,1614941441907,5,11,50,41
20.471821,49.184593,Os 8316 ,180,Spišská Belá zastávka,Stará Ľubovňa,Poprad-Tatry,22,1614941621876,5,11,53,41
22.02501,48.40713,Os 8813 ,300,Dobrá,Košice,Čierna nad Tisou,8,1614941621876,5,11,53,41
21.22393,48.85288,Os 8514 ,240,Kysak,Košice,Lipany,21,1614941861919,5,11,57,41
21.75188,48.85705,Os 9115 ,0,Nižný Hrabovec,Prešov,Humenné,12,1614941861919,5,11,57,41
21.01324,48.89469,Os 7817 ,0,Margecany,Poprad-Tatry,Košice,17,1614942642159,5,12,10,42
21.22393,48.85288,Os 8515 ,180,Kysak,Lipany,Košice,18,1614942702161,5,12,11,42
20.56151,48.95041,Os 7814 ,300,Spišská Nová Ves,Košice,Poprad-Tatry,9,1614944712673,5,12,45,12
21.32044,49.04386,Os 9116 ,0,Kapušany pri Prešove,Humenné,Prešov,3,1614945462952,5,12,57,42
21.95465,49.05145,Os 8919 ,0,Koškovce,Humenné,Medzilaborce mesto,13,1614945703011,5,13,1,43
21.95465,49.05145,Os 8919 ,0,Koškovce,Humenné,Medzilaborce mesto,13,1614945718004,5,13,1,58
21.29588,48.67004,REX 1903 ,360,Krásna nad Hornádom,Košice,Humenné,15,1614946603120,5,13,16,43
20.56151,48.95041,Os 7821 ,1260,Spišská Nová Ves,Poprad-Tatry,Košice,17,1614947083143,5,13,24,43
20.63011,48.83833,Os 7450 ,180,Nálepkovo,Margecany,Mlynky,24,1614947263179,5,13,27,43
20.94725,48.85834,Os 7419 ,60,Gelnica,Nálepkovo,Margecany,7,1614947353193,5,13,29,13
20.94725,48.85834,Os 7419 ,60,Gelnica,Nálepkovo,Margecany,7,1614947368230,5,13,29,28
21.26712,49.01659,Os 9216 ,420,Šarišské Lúky,Bardejov,Prešov,16,1614947923484,5,13,38,43
21.990302,48.933803,Os 9421 ,0,Kamenica nad Cirochou,Humenné,Stakčín,6,1614948703564,5,13,51,43
21.75188,48.85705,Os 9120 ,0,Nižný Hrabovec,Humenné,Prešov,3,1614949213620,5,14,0,13
21.249126,48.983379,Os 8515 ,-60,Prešov,Lipany,Košice,18,1614940886648,5,11,41,26
21.22393,48.85288,Os 8515 ,180,Kysak,Lipany,Košice,18,1614942673463,5,12,11,13
22.02501,48.40713,Os 8861 ,0,Dobrá,Čierna nad Tisou,Košice,25,1614942702161,5,12,11,42
21.249126,48.983379,Os 8514 ,120,Prešov,Košice,Lipany,21,1614943167287,5,12,19,27
21.82483,48.86766,REX 1901 ,0,Strážske,Košice,Humenné,15,1614943422365,5,12,23,42
21.20295,49.04477,Os 8517 ,120,Veľký Šariš,Lipany,Košice,18,1614944157555,5,12,35,57
21.75771,48.39034,Os 8861 ,0,Streda nad Bodrogom,Čierna nad Tisou,Košice,25,1614944262506,5,12,37,42
21.24601,48.7958,Os 8516 ,0,Kostoľany nad Hornádom,Košice,Lipany,21,1614944922780,5,12,48,42
20.72323,48.8055,Os 7419 ,0,Švedlár,Nálepkovo,Margecany,7,1614945102873,5,12,51,42
21.32044,49.04386,Os 9119 ,0,Kapušany pri Prešove,Prešov,Humenné,12,1614945432954,5,12,57,12
21.32044,49.04386,Os 9119 ,0,Kapušany pri Prešove,Prešov,Humenné,12,1614945447921,5,12,57,27
22.05519,48.95489,Os 9418 ,0,Dlhé nad Cirochou,Stakčín,Humenné,5,1614945582966,5,12,59,42
22.05519,48.95489,Os 9419 ,0,Dlhé nad Cirochou,Humenné,Stakčín,6,1614945733089,5,13,2,13
20.56151,48.95041,R 608 TATRAN,540,Spišská Nová Ves,Košice,Bratislava hlavná stanica,23,1614945898014,5,13,4,58
21.31413,49.14945,Os 9216 ,360,Raslavice,Bardejov,Prešov,16,1614946003027,5,13,6,43
21.31413,49.14945,Os 9216 ,360,Raslavice,Bardejov,Prešov,16,1614946018027,5,13,6,58
20.56151,48.95041,R 603 TATRAN,480,Spišská Nová Ves,Bratislava hlavná stanica,Košice,20,1614946633117,5,13,17,13
20.56151,48.95041,R 603 TATRAN,480,Spišská Nová Ves,Bratislava hlavná stanica,Košice,20,1614946648117,5,13,17,28
21.0886,49.10324,Os 8519 ,0,Sabinov,Lipany,Košice,18,1614946828119,5,13,20,28
21.90506,49.26186,Os 8919 ,0,Medzilaborce,Humenné,Medzilaborce mesto,13,1614948493559,5,13,48,13
21.82483,48.86766,Os 9120 ,0,Strážske,Humenné,Prešov,3,1614948763578,5,13,52,43
21.75188,48.85705,Os 9119 ,0,Nižný Hrabovec,Prešov,Humenné,12,1614949063613,5,13,57,43
21.42887,48.67311,Os 8814 ,360,Ruskov,Čierna nad Tisou,Košice,25,1614940121367,5,11,28,41
21.42887,48.67311,Os 8814 ,360,Ruskov,Čierna nad Tisou,Košice,25,1614940136300,5,11,28,56
21.90119,48.93015,REX 1908 ,300,Humenné,Humenné,Košice,10,1614940496466,5,11,34,56
21.241086,48.873332,Os 8515 ,0,Ličartovce,Lipany,Košice,18,1614942101983,5,12,1,41
21.241086,48.873332,Os 8514 ,180,Ličartovce,Košice,Lipany,21,1614942282020,5,12,4,42
21.01324,48.89469,Os 7817 ,0,Margecany,Poprad-Tatry,Košice,17,1614942657112,5,12,10,57
21.89858,48.75074,REX 1901 ,0,Michalovce,Košice,Humenné,15,1614942747158,5,12,12,27
21.89858,48.75074,REX 1901 ,0,Michalovce,Košice,Humenné,15,1614942762199,5,12,12,42
21.91384,48.39032,Os 8861 ,0,Veľký Horeš,Čierna nad Tisou,Košice,25,1614943272316,5,12,21,12
21.75771,48.39034,Os 8861 ,0,Streda nad Bodrogom,Čierna nad Tisou,Košice,25,1614944277492,5,12,37,57
21.22393,48.85288,Os 7816 ,360,Kysak,Košice,Poprad-Tatry,9,1614944412568,5,12,40,12
20.72323,48.8055,Os 7419 ,0,Švedlár,Nálepkovo,Margecany,7,1614945117840,5,12,51,57
21.32044,49.04386,Os 9119 ,0,Kapušany pri Prešove,Prešov,Humenné,12,1614945462952,5,12,57,42
21.241086,48.873332,Os 8516 ,360,Ličartovce,Košice,Lipany,21,1614946048067,5,13,7,28
21.22393,48.85288,Os 8517 ,420,Kysak,Lipany,Košice,18,1614946498098,5,13,14,58
